"Tracklist short","ID"
"1	A New Culture Is Born (3:14)
2	The Nightfly (7:21)
3	La Luna (5:45)
4	DJ Culture (6:07)
5	Sundowner (5:15)
6	Sound Of Machines (5:15)
7	The Blue Sky (6:38)
8	Waste Your Youth (4:38)
9	Mindcrasher (7:30)
10	The Nightfly (Break Reprise) (5:32)
11	After Lo",68
"1	DJ Energy	 - 	Step Into The Arena (Energy 97 Theme) (Radio Edit) (3:39)
2	RMB	- 	Break The Silence (Short) (3:56)
3	Future Breeze	- 	Illusion (5:04)
4	DJ Quicksilver	- 	Free (Club Mix) (3:26)
5	Hypertrophy	- 	Just Come Back 2 Me (Brooklyn Bounce Remix) ",69
"1	Inner City	 - 	Big Fun (3:19)
2	Terry Mullan	- 	Speaker Phreaker inchPhreaky Deakyinch (4:14)
3	Joey Beltram	- 	Energy Flash (4:26)
4	Yello	- 	Bostich (2:03)
5	Innocent, The	- 	Elektric Disko (6:54)
  featuring Derrick Carter
6	Cabaret Voltaire	- 	Colours (Or",70
"1	Oh Yeah (Video Edit) (3:34)
  remix by Plutone
2	Oh Yeah (Experimental Mix) (5:14)
  remix by Plutone
3	Oh Yeah (Plutone Remix) (6:12)
  remix by Plutone
4	Oh Yeah (Sun + Moon Mix) (5:18)
  remix by Plutone",71
"1	Space (5)	 - 	Neighbourhood (3:27)
2	Kool Moe Dee	- 	No Respect (5:25)
3	Yello	- 	Jungle Bill (3:43)
4	Apollo Four Forty	- 	Vanishing Point (7:26)
5	Jim Farmer	- 	The Real Blonde (3:52)
6	Hooverphonic	- 	Inhaler (5:10)
7	Joey Altruda & His Cocktails Cre",72
"1	When In Rome	 - 	The Promise (On Mix) (6:25)
2	Haircut 100	- 	Love Plus One (5:36)
3	Giorgio Moroder With Philip Oakey	- 	Together In Electric Dreams (6:25)
4	Yello	- 	Oh Yeah (6:22)
5	Q-Feel (Duplicate Of Q Feel)	- 	Dancing In Heaven (Orbital Be-Bop) (",73
"1)MC MIKER G & DEEJAY SVEN - HOLIDAY RAP 4:25 Min. 2)FIVE STAR - FIND THE TIME 3:56 Min. 3)JANET JACKSON - NASTY 3:40 Min. 4)YELLO - GOLDRUSH 3:48 Min. 5)BANANARAMA - MORE THAN PHYSICAL 3:18 Min. 6)THE MOODY BLUES - YOUR WILDEST DREAMS 3:50 Min. 7)BEAGLE ",74
"1)MEGAMIX VERSION 13:13 Min. 2)MIX VERSION 13:30 Min. Die Mixe enthalten folgende Lieder: CLUB HOUSE - YEKE YEKE/I'M A MAN , YAZZ - THE ONLY WAY IS UP , YELLO - THE RACE , S'EXPRESS - THEME FROM S'EXPRESS , FUNHOUSE - DANCIN' EASY , STEVE CLARK - YOU CAN ",75
"1.   -  The Team on TourA    - -    Mark oh    - -    min: 3:54    -
2.   -  Happy People- -    Mr. President    - -    min: 3:38    -
3.   -  Dont Forget The Sunshine        - -    Just Frinds    - -    min: 3:52    -
4.   -  Dont Call It Love     - -   ",76
"1.  Sweet Little Mystery - Wet Wet Wet  [03:41]
2.  You Came - Tony Swain  [04:35]
3.  Everything's Coming Up Roses - Black  [04:06]
4.  Perfect - Fairground Attraction  [03:36]
5.  Piano In The Dark - Brenda Russell  [05:19]
6.  Stop - Sam Brown  [04:56]",77
"1.  Sweet Sixteen - Billy Idol  [04:14]
2.  Dance Little Sister - Terence Trent D'Arby  [03:55]
3.  The Great Commandment - Camouflage  [04:15]
4.  Living In A Box - Living In A Box  [03:04]
5.  The Night You Murdered Love - ABC  [04:54]
6.  Heartache - P",78
"1. a hit song (full version) 2. a hit song (negress version) 3. dans la catastrophe 4. kakophonie no 241",79
"1. CD

Snap: Welcome to tomorrow (are you ready?)
Jovanotti: Serenata Rap
Dr. Alban: Let the beat go on
Warren G.: Regulate
La Bouche: Sweet dreams
The Grid: Swamp thing
Mo-Do: Eins, zwei, Polizei
Perplexer: Da Capo
The Prodigy: No good (Start the dance)
",80
"1. Cradle of Love performed by Billy Idol - 4:41 2. Sea Cruise performed by Dion - 3:01 3. Funky Attitude performed by Sheila E. - 4:34 4. Glad to Be Alive performed by Teddy Pendergrass / Lisa Fisher - 4:57 5. Can't Get Enough performed by Tone Loc - 4:0",81
"1. Donna Summer – I Feel Love 8:14
2. Jody Watley – Looking for a New Love 5:07
3. Man To Man – Male Stripper 8:15
4. Yazz – The Only Way Is Up
5. Michael Bow – Love & Devotion 6:08
6. Yello – Oh Yeah 6:17
7. Lil’ Louis – French Kiss 9:17
8. S’Xpress – Th",82
"1. Early Blow - Ratio, 2. Dumped - G.Flame/Mr. G, 3. User (02)-B2 - Richard Harvey, 4. User (04)-A2 - Richard Harvey, 5. User (02)-A2 - Richard Harvey, 6. User (01)-B2 - Richard Harvey, 7. 001A-A2 - Richard Harvey, 8. B2 - Grain 1, 9. Road To Rio EP-B2 - ",83
"1. Emotion Heater - The Gentle People (vocal mix)
2. To The Sea - Yello (original mix)
3. Loft In Paradise - Danny Tenaglia
4. Plan, The / Minty - Outside
5. Going Round - Herbert & Dani Siciliano
6. Beau Mot Plage - Isolee
7. Bang Bang You're Mine - Bang",84
"1. Emotion Heater (vocal mix) - Gentle People (The)
2. To The Sea (original mix) - Yello
3. Loft In Paradise - Danny Tenaglia
4. MEDLEY: Plan, The/Minty - Outside
5. Going Round - Dani Siciliano
6. Beau Mot Plage - Isolee
7. Bang Bang You're Mine (full vo",85
"1. Flaming Church - Sheep On Drugs
2. Sex Drive - Grace Jones (final master race mix)
3. E - LaTour (Saranjhi sunset mix)
4. Heavy Water - Holy Ghost
5. Vicious Games - Yello (belly trippin' trance music)
6. Words Of Advice For Young People - William S. B",86
"1. Follow My Rainbow - Shena Easton
2. Satellite - The Hooters
3. I'm Looking For Someone - Stray Cats
4. Moon On Ice - Yello
5. New York Theme - Jan Hammer
6. Dirty Laundry - Don Henley
7. I Got You (i Feel Good) - James Brown
8. Devil With A Blue Dress ",87
"1. Fury In The Slaughterhouse: Time to wonder (Live)
2. ABC: The night you murdered love
3. Bill Haley: Rock around the clock
4. Free: All right now
5. Kool & The Gang: Fresh
6. Angelique Kidjo: Agolo
7. Yello: La Habanera
8. Chaka Demus & Pliers with Jac",88
"1. GIANT SAND - Yer Ropes
2. ELBOW - Scattered Black And Whites
3. RICHARD THOMPSON - I Feel So Good
4. SOUTH Here On In
5. THE FALL - Hit The North
6. ALPHA - Wise
7. SHANE MacGOWAN & THE BLOCKHEADS - Plaistow Praticia
8. BILLY MacKENZIE - When The World",89
