12532, YELLO       , ESSENTIAL CHRISTMAS             , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         ,              
63463, YELLO       , ESSENTIAL YELLO                 , MERCURY               ,, GERMANY     ,, CASSETTE           , ALBUM         ,              
6607, CHICO       , EVENTS                          , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         ,              
12608, CHICO       , EVENTS                          , MERCURY               ,, GERMAN      ,, VINYL              , LP            ,              
12684, FUNKY       , EXZESS                          , MUSICA                ,, GERMAN      ,, CD                 , MAXI          ,              
8, YELLO       , FLAG                            , FONTANA               ,, GERMAN      ,, VINYL              , LP            ,              
12760, YELLO       , FLAG                            , POLYGRAM              ,, U.S.A       ,, CASSETTE           , ALBUM         ,              
12836, YELLO       , FLAG                            , MERCURY               ,, UK          ,, CASSETTE           , ALBUM         ,              
12912, YELLO       , FLAG                            , MERCURY               ,, U.S.A       ,, CASSETTE           , ALBUM         ,              
12988, YELLO       , FLAG                            , FONTANA               ,, GERMAN      ,, CASSETTE           , ALBUM         ,              
13064, YELLO       , FLAG                            , VERTIGO               ,, CANADA      ,, CASSETTE           , ALBUM         ,              
13140, YELLO       , FLAG                            , CD MAXIMUM            ,, RUSSIA      ,, CD                 , ALBUM         ,              
13216, YELLO       , FLAG                            , VERTIGO               ,, GERMAN      ,, CD                 , ALBUM         ,              
13292, YELLO       , FLAG                            , VERTIGO               ,, CANADA      ,, CD                 , ALBUM         , PROMO        
13368, YELLO       , FLAG                            , MERCURY               ,, UK          ,, CD                 , ALBUM         ,              
13444, YELLO       , FLAG                            , VERTIGOY              ,, CANADA      ,, CD                 , ALBUM         , PROMO        
13595, YELLO       , FLAG                            , MERCURY               ,, U.S.A       ,, VINYL              , LP            ,              
13671, YELLO       , FLAG                            , FONTANA               ,, GERMAN      ,, VINYL              , LP            , PROMO        
13747, YELLO       , FLAG                            , FONTANA               ,, SPAIN       ,, VINYL              , LP            ,              
13823, YELLO       , FLAG                            , MERCURY               ,, UK          ,, VINYL              , LP            ,              
13899, YELLO       , FLAG                            ,                       ,, U.S.A       ,, PROMOS             , POSTER        ,              
13975, YELLO       , FLAG                            ,                       ,,             ,, PROMOS             , MISC          ,              
14051, YELLO       , FLAG                            ,                       ,, UK          ,, PROMOS             , MISC          , PROMO        
63539, YELLO       , FLAG                            , FONTANA               ,, GERMANY     ,, CD                 , ALBUM         ,              
63615, YELLO       , FLAG                            , MERCURY               ,, USA         ,, CD                 , ALBUM         ,              
63691, YELLO       , FLAG                            , MERCURY               ,, JAPAN       ,, CD                 , ALBUM         ,              
63767, YELLO       , FLAG                            , FONTANA               ,, SOUTH       ,, VINYL              , LP            ,              
63843, ASSOCIATES  , FOURTH DRAWER DOWN              , WARNER/WEA            ,, GERMANY     ,, VINYL              , LP            ,              
14127, VARIOUS     , FRANK JOHNSONS FAVORITES        , RALPH                 ,, US          ,, VINYL              , LP            ,              
14203, VARIOUS     , FUTURE MUSIC                    , FM CD 1994            ,, GERMAN      ,, CD                 , ALBUM         ,              
63919, YELLO       , GERMAN KEYBOARDS MAGAZIN        ,                       ,, GERMANY     ,, PAPER              , MAGAZINE      ,              
14279, YELLO       , GOLDEN COLLECTION 2001          , LIGHTHOUSE            ,, RUSSIA      ,, CD                 , ALBUM         ,              
14355, YELLO       , GOLDRUSH                        , POLYGRAM              ,, AUSTRALIA   ,, CASSETTE           , SINGLE        ,              
14506, YELLO       , GOLDRUSH                        , BARCLAY               ,, FRANCE      ,, VINYL              , 7”            ,              
14582, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMAN      ,, VINYL              , 12”           ,              
14658, YELLO       , GOLDRUSH                        , VERTIGO               ,, CANADA      ,, VINYL              , 12”           ,              
14734, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMAN      ,, VINYL              , 12”           ,              
14810, YELLO       , GOLDRUSH                        , MERCURY               ,, UK          ,, VINYL              , 12”           , 2X           
14886, YELLO       , GOLDRUSH                        , BARCLAY               ,, FRANCE      ,, VINYL              , 12”           ,              
15187, YELLO       , GOLDRUSH                        , MERCURY               ,, UK          ,, VINYL              , 7”            ,              
15338, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMAN      ,, VINYL              , 7”            ,              
15414, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMAN      ,, CD                 , MAXI          ,              
15490, YELLO       , GOLDRUSH                        , FONTANA               ,, GERMAN      ,, CD                 , MAXI          ,              
15566, YELLO       , GOLDRUSH                        , POLYGRAM              ,, UK          ,, VIDEO              ,               , PROMO        
15642, YELLO       , GOLDRUSH                        , FONTANA               ,, GERMAN      ,, CD                 , MAXI          , VIDEO        
15718, YELLO       , GOLDRUSH                        , VANDERQUEST           ,, UK          ,, VIDEO              ,               , PROMO        
63995, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMANY     ,, VINYL              , 12”           ,              
64071, YELLO       , GOLDRUSH                        , VERTIGO               ,, GERMANY     ,, VINYL              , 12”           ,              
15794, YELLO       , HANDS ON YELLO                  , URBAN                 ,, GERMAN      ,, VINYL              , LP            , 6 X 12'' BOX 
16020, YELLO       , HANDS ON YELLO                  , URBAN                 ,, GERMAN      ,, CASSETTE           , ALBUM         ,              
16096, YELLO       , HANDS ON YELLO                  , URBAN                 ,, GERMAN      ,, CD                 , ALBUM         ,              
